,,,,,,,Misc,Misc,,Approx Val,Approx Val,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,,,
1,20,HOU,Kareem Jackson\JackKa99,DB,22,2018,0,0,8,36,36,126,0,0,0,0,0,0,0,0,0,0,0,447,16,2.0,Alabama,College Stats
1,21,CIN,Jermaine Gresham\GresJe00,TE,22,2018,0,2,9,27,22,127,0,0,0,0,0,0,0,0,375,3734,29,4,,,Oklahoma,College Stats
1,22,DEN,Demaryius Thomas\ThomDe03,WR,22,2018,0,4,7,64,64,127,0,1,0,0,0,3,6,0,668,9116,60,6,,,Georgia Tech,College Stats
1,23,GNB,Bryan Bulaga\BulaBr20,T,21,2018,0,0,7,45,45,95,0,0,0,0,0,0,0,0,0,0,0,2,,,Iowa,
1,24,DAL,Dez Bryant\BryaDe01,WR,21,2017,1,3,7,61,61,113,1,1,10,1,0,6,-3,0,531,7459,73,5,,,Oklahoma St.,College Stats
1,25,DEN,Tim Tebow\TeboTi00,QB,23,2012,0,0,1,12,11,35,173,361,2422,17,9,197,989,12,0,0,0,,,,Florida,College Stats
1,26,ARI,Dan Williams\WillDa99,DT,23,2016,0,0,6,32,22,102,0,0,0,0,0,0,0,0,0,0,0,157,1,3.5,Tennessee,College Stats
1,27,NWE,Devin McCourty\McCoDe99,DB,23,2018,0,2,9,51,51,133,0,0,0,0,0,0,0,0,0,0,0,534,21,3.0,Rutgers,College Stats
1,28,MIA,Jared Odrick\OdriJa99,DE,22,2016,0,0,3,29,20,87,0,0,0,0,0,0,0,0,0,0,0,136,1,23.0,Penn St.,College Stats
1,29,NYJ,Kyle Wilson\WilsKy99,DB,23,2015,0,0,1,15,13,95,0,0,0,0,0,0,0,0,0,0,0,164,4,1.0,Boise St.,College Stats
1,30,DET,Jahvid Best\BestJa00,RB,21,2012,0,0,1,13,13,22,0,1,0,0,0,255,945,6,85,774,3,1,,,California,College Stats
1,31,IND,Jerry Hughes\HughJe99,DE,22,2018,0,0,5,36,4,130,0,0,0,0,0,0,0,0,0,0,0,219,,45.5,TCU,College Stats
1,32,NOR,Patrick Robinson\RobiPa99,DB,23,2018,0,0,2,22,12,100,0,0,0,0,0,0,0,0,0,0,0,255,14,2.0,Florida St.,College Stats
2,33,STL,Rodger Saffold\SaffRo20,T,22,2018,0,0,7,38,38,109,0,0,0,0,0,0,0,0,0,0,0,4,,,Indiana,College Stats
2,34,MIN,Chris Cook\CookCh99,DB,23,2014,0,0,2,9,9,40,0,0,0,0,0,0,0,0,0,0,0,104,,1.0,Virginia,College Stats
2,35,TAM,Brian Price\PricBr99,DT,21,2012,0,0,1,4,4,20,0,0,0,0,0,0,0,0,0,0,0,22,,3.0,UCLA,College Stats
2,36,KAN,Dexter McCluster\McClDe00,WR,21,2016,0,1,0,21,17,89,0,0,0,0,0,250,1042,2,236,1993,7,5,,,Mississippi,College Stats
2,37,PHI,Nate Allen\AlleNa99,DB,22,2017,0,0,5,29,26,100,0,0,0,0,0,0,0,0,0,0,0,299,13,4.0,South Florida,College Stats
2,38,CLE,T.J. Ward\WardT.99,DB,23,2017,0,2,7,39,23,107,0,0,0,0,0,0,0,0,0,0,0,443,8,8.5,Oregon,College Stats
2,39,TAM,Arrelious Benn\BennAr00,WR,21,2017,0,0,2,8,7,61,0,0,0,0,0,15,44,0,65,990,6,5,,,Illinois,College Stats
2,40,MIA,Koa Misi\MisiKo99,LB,23,2016,0,0,6,32,32,84,0,0,0,0,0,0,0,0,0,0,0,253,,12.0,Utah,College Stats
2,41,BUF,Torell Troup\TrouTo00,DT,21,2012,0,0,0,3,3,21,0,0,0,0,0,0,0,0,0,0,0,17,,,Central Florida,
2,42,NWE,Rob Gronkowski\GronRo00,TE,21,2018,4,5,7,66,66,109,0,0,0,0,0,1,2,1,503,7627,77,2,,,Arizona,College Stats
2,43,BAL,Sergio Kindle\KindSe99,LB,22,2012,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,,,Texas,
2,44,OAK,Lamarr Houston\HousLa99,DE,23,2017,0,0,4,32,26,100,0,0,0,0,0,0,0,0,0,0,0,231,1,30.5,Texas,College Stats
2,45,DEN,Zane Beadles\BeadZa20,G,23,2018,0,1,7,49,31,131,0,0,0,0,0,0,0,0,0,0,0,2,,,Utah,
2,46,NYG,Linval Joseph\JoseLi99,DT,21,2018,0,2,8,52,18,122,0,0,0,0,0,0,0,0,0,0,0,279,,21.0,East Carolina,College Stats
2,47,ARI,Daryl Washington\WashDa99,LB,23,2014,0,1,4,36,36,59,0,0,0,0,0,0,0,0,0,0,0,325,6,18.0,TCU,College Stats
2,48,CAR,Jimmy Clausen\ClauJi00,QB,22,2015,0,0,1,3,0,22,255,472,2520,7,14,37,102,0,0,0,0,1,,,Notre Dame,College Stats
2,49,SFO,Taylor Mays\MaysTa99,DB,22,2015,0,0,0,9,3,80,0,0,0,0,0,0,0,0,0,0,0,74,,1.0,USC,College Stats
2,50,KAN,Javier Arenas\ArenJa99,DB,22,2014,0,0,1,8,7,69,0,0,0,0,0,4,17,1,0,0,0,130,2,5.0,Alabama,College Stats
2,51,MIN,Toby Gerhart\GerhTo00,RB,23,2015,0,0,0,16,13,82,0,0,0,0,0,397,1675,7,100,809,3,8,,,Stanford,College Stats
2,52,PIT,Jason Worilds\WoriJa99,DE,22,2014,0,0,1,21,21,73,0,0,0,0,0,0,0,0,0,0,0,129,1,25.5,Virginia Tech,College Stats
2,53,NWE,Jermaine Cunningham\CunnJe99,LB,22,2014,0,0,1,8,8,38,0,0,0,0,0,0,0,0,0,0,0,43,,3.5,Florida,College Stats
2,54,CIN,Carlos Dunlap\DunlCa99,DE,21,2018,0,2,6,52,52,128,0,0,0,0,0,0,0,0,0,0,0,271,2,71.5,Florida,College Stats
2,55,DAL,Sean Lee\LeexSe99,LB,24,2018,1,2,6,45,45,91,0,0,0,0,0,0,0,0,0,0,0,447,13,3.0,Penn St.,College Stats
2,56,GNB,Mike Neal\NealMi99,DE,23,2015,0,0,2,17,17,68,0,0,0,0,0,0,0,0,0,0,0,100,1,19.0,Purdue,College Stats
2,57,BAL,Terrence Cody\CodyTe99,DT,22,2014,0,0,1,14,14,57,0,0,0,0,0,0,0,0,0,0,0,46,,,Alabama,College Stats
2,58,HOU,Ben Tate\TateBe00,RB,22,2014,0,0,0,14,12,51,0,0,0,0,0,540,2363,14,67,347,0,2,,,Auburn,College Stats
2,59,CLE,Montario Hardesty\HardMo00,RB,23,2012,0,0,0,4,4,23,0,0,0,0,0,153,537,1,16,138,0,,,,Tennessee,College Stats
2,60,SEA,Golden Tate\TateGo00,WR,22,2018,0,1,6,50,17,131,1,1,23,1,0,43,200,0,588,7003,37,4,,,Notre Dame,College Stats
2,61,NYJ,Vlad Ducasse\DucaVl20,T,22,2018,0,0,4,18,2,110,0,0,0,0,0,0,0,0,0,0,0,,,,Massachusetts,
2,62,NWE,Brandon Spikes\SpikBr99,LB,23,2016,0,0,4,23,18,78,0,0,0,0,0,0,0,0,0,0,0,210,2,2.0,Florida,College Stats
2,63,IND,Pat Angerer\AngePa99,LB,23,2013,0,0,2,17,17,54,0,0,0,0,0,0,0,0,0,0,0,184,2,2.5,Iowa,College Stats
2,64,NOR,Charles Brown\BrowCh28,T,23,2015,0,0,1,15,15,54,0,0,0,0,0,0,0,0,0,0,0,1,,,USC,College Stats
3,65,STL,Jerome Murphy\MurpJe99,DB,23,2013,0,0,0,3,2,33,0,0,0,0,0,0,0,0,0,0,0,22,1,,South Florida,College Stats
3,66,DET,Amari Spievey\SpieAm99,DB,22,2012,0,0,2,12,12,35,0,0,0,0,0,0,0,0,0,0,0,113,5,1.0,Iowa,College Stats
3,67,TAM,Myron Lewis\LewiMy99,DB,22,2012,0,0,0,1,1,28,0,0,0,0,0,0,0,0,0,0,0,18,,,Vanderbilt,College Stats
3,68,KAN,Jon Asamoah\AsamJo20,G,22,2014,0,0,4,21,13,75,0,0,0,0,0,0,0,0,0,0,0,4,,,Illinois,
3,69,OAK,Jared Veldheer\VeldJa20,T,23,2018,0,0,8,44,20,112,0,0,0,0,0,0,0,0,0,0,0,8,,,Hillsdale,
3,70,BAL,Ed Dickson\DickEd00,TE,23,2018,0,0,6,15,9,128,0,0,0,0,0,0,0,0,182,2078,14,7,,,Oregon,College Stats
3,71,GNB,Morgan Burnett\BurnMo99,DB,21,2018,0,0,7,30,30,108,0,0,0,0,0,0,0,0,0,0,0,521,9,7.5,Georgia Tech,College Stats
3,72,BUF,Alex Carrington\CarrAl99,DE,23,2015,0,0,0,7,6,59,0,0,0,0,0,0,0,0,0,0,0,39,,4.0,Arkansas St.,College Stats
3,73,MIA,John Jerry\JerrJo20,T,24,2017,0,0,6,39,17,121,0,0,0,0,0,0,0,0,0,0,0,4,,,Mississippi,
3,74,JAX,D'Anthony Smith\SmitDA99,DT,22,2015,0,0,1,1,1,14,0,0,0,0,0,0,0,0,0,0,0,8,,,Louisiana Tech,College Stats
3,75,CHI,Major Wright\WrigMa99,DB,22,2016,0,0,3,20,17,77,0,0,0,0,0,0,0,0,0,0,0,240,9,,Florida,College Stats
3,76,NYG,Chad Jones,DB,,,0,0,0,,,,,,,,,,,,,,,,,,LSU,College Stats
3,77,TEN,Damian Williams\WillDa04,WR,22,2014,0,0,1,9,9,57,0,0,0,0,0,1,5,0,107,1327,5,,,,USC,College Stats
3,78,CAR,Brandon LaFell\LaFeBr00,WR,23,2018,0,0,6,42,17,125,0,1,0,0,0,11,130,0,406,5398,31,5,,,LSU,College Stats
3,79,SDG,Donald Butler\ButlDo99,LB,21,2016,0,0,5,29,27,85,0,0,0,0,0,0,0,0,0,0,0,296,3,7.0,Washington,
3,80,DEN,J.D. Walton\WaltJ.20,C,23,2015,0,0,3,23,15,56,0,0,0,0,0,0,0,0,0,0,0,1,,,Baylor,College Stats
3,81,HOU,Earl Mitchell\MitcEa99,DT,22,2018,0,0,4,26,10,126,0,0,0,0,0,0,0,0,0,0,0,161,,6.5,Arizona,College Stats
3,82,PIT,Emmanuel Sanders\SandEm00,WR,23,2018,0,2,6,45,13,125,2,2,43,1,0,18,159,1,524,6919,36,5,,,SMU,College Stats
3,83,ATL,Corey Peters\PeteCo00,DT,22,2018,0,0,6,34,24,107,0,0,0,0,0,0,0,0,0,0,0,153,1,14.0,Kentucky,College Stats
3,84,CIN,Jordan Shipley\ShipJo00,WR,24,2012,0,0,0,7,5,24,0,0,0,0,0,0,0,0,79,858,4,1,,,Texas,College Stats
3,85,CLE,Colt McCoy\McCoCo00,QB,24,2018,0,0,2,12,10,37,514,854,5640,27,23,123,455,2,2,8,0,2,,,Texas,College Stats
3,86,PHI,Daniel Te'o-Nesheim\Teo-Da99,DE,23,2013,0,0,2,12,1,39,0,0,0,0,0,0,0,0,0,0,0,37,,5.0,Washington,College Stats
3,87,DEN,Eric Decker\DeckEr00,WR,23,2017,0,0,6,46,28,111,0,2,0,0,0,1,1,0,439,5816,53,7,,,Minnesota,College Stats
3,88,ARI,Andre Roberts\RobeAn00,WR,22,2018,0,0,2,21,14,129,0,0,0,0,0,10,79,0,247,2936,14,10,,,The Citadel,
3,89,CAR,Armanti Edwards\EdwaAr00,WR,22,2013,0,0,0,1,1,41,2,3,11,0,0,3,12,0,6,131,0,,,,Appalachian St.,
3,90,NWE,Taylor Price\PricTa00,WR,22,2012,0,0,0,1,1,6,0,0,0,0,0,0,0,0,5,80,0,,,,Ohio,College Stats
3,91,SFO,NaVorro Bowman\BowmNa99,LB,22,2017,4,3,5,68,64,99,0,0,0,0,0,0,0,0,0,0,0,585,5,14.0,Penn St.,College Stats
3,92,CLE,Shawn Lauvao\LauvSh20,G,22,2018,0,0,7,33,15,99,0,0,0,0,0,0,0,0,0,0,0,1,,,Arizona St.,
3,93,KAN,Tony Moeaki\MoeaTo00,TE,23,2015,0,0,2,10,9,48,0,0,0,0,0,0,0,0,91,1201,6,1,,,Iowa,College Stats
3,94,IND,Kevin Thomas\ThomKe99,DB,23,2011,0,0,0,2,2,9,0,0,0,0,0,0,0,0,0,0,0,20,,,USC,
3,95,NOR,Jimmy Graham\GrahJi00,TE,23,2018,1,5,8,53,39,131,0,0,0,0,0,2,3,0,590,7252,71,5,,,Miami (FL),College Stats
3,96,CIN,Brandon Ghee\GheeBr99,DB,23,2014,0,0,0,3,2,29,0,0,0,0,0,0,0,0,0,0,0,10,1,,Wake Forest,College Stats
3,97,TEN,Rennie Curran\CurrRe99,LB,21,2010,0,0,0,1,1,9,0,0,0,0,0,0,0,0,0,0,0,,,,Georgia,College Stats
3,98,ATL,Mike Johnson\JohnMi23,G,23,2014,0,0,0,2,2,18,0,0,0,0,0,0,0,0,1,1,1,,,,Alabama,
4,99,STL,Mardy Gilyard\GilyMa00,WR,23,2012,0,0,0,1,1,19,0,0,0,0,0,0,0,0,8,78,0,1,,,Cincinnati,College Stats
4,100,MIN,Everson Griffen\GrifEv99,DE,22,2018,0,3,4,50,50,126,0,0,0,0,0,0,0,0,0,0,0,197,1,63.5,USC,College Stats
4,101,TAM,Mike Williams\WillMi04,WR,23,2014,0,0,3,25,25,63,1,1,28,0,0,1,3,0,223,3089,26,10,,,Syracuse,College Stats
4,102,HOU,Darryl Sharpton\SharDa01,LB,22,2014,0,0,1,10,9,47,0,0,0,0,0,0,0,0,0,0,0,102,1,1.0,Miami (FL),College Stats
4,103,WAS,Perry Riley\RilePe00,LB,22,2016,0,0,5,30,27,90,0,0,0,0,0,0,0,0,0,0,0,298,3,9.5,LSU,College Stats
4,104,TEN,Alterraun Verner\VernAl99,DB,21,2017,0,1,4,33,24,125,0,0,0,0,0,0,0,0,0,0,0,343,15,0.5,UCLA,College Stats
4,105,PHI,Trevard Lindley\LindTr99,DB,24,2010,0,0,0,1,1,11,0,0,0,0,0,0,0,0,0,0,0,18,1,,Kentucky,College Stats
4,106,OAK,Bruce Campbell\CampBr20,T,22,2012,0,0,0,1,1,19,0,0,0,0,0,0,0,0,0,0,0,,,,Maryland,College Stats
4,107,BUF,Marcus Easley\EaslMa00,WR,22,2015,0,0,0,1,1,42,0,0,0,0,0,0,0,0,3,71,1,29,1,,Connecticut,
4,108,OAK,Jacoby Ford\FordJa01,WR,23,2013,0,0,1,12,12,38,0,0,0,0,0,19,201,2,57,848,3,7,,,Clemson,College Stats
4,109,CHI,Corey Wootton\WootCo99,DE,23,2014,0,0,0,15,13,60,0,0,0,0,0,0,0,0,0,0,0,65,,12.0,Northwestern,College Stats
4,110,SDG,Darrell Stuckey\StucDa20,DB,23,2016,0,1,0,8,8,89,0,0,0,0,0,0,0,0,0,0,0,45,,1.0,Kansas,
4,111,SEA,Walter Thurmond\ThurWa99,DB,23,2015,0,0,1,12,5,52,0,0,0,0,0,0,0,0,0,0,0,119,4,3.0,Oregon,College Stats
4,112,NYJ,Joe McKnight\McKnJo00,RB,22,2014,0,0,0,7,6,41,0,0,0,0,0,113,505,0,23,241,2,2,,,USC,College Stats
4,113,NWE,Aaron Hernandez\HernAa00,TE,20,2012,0,0,2,22,22,38,0,0,0,0,0,9,97,0,175,1956,18,,,,Florida,College Stats
4,114,BAL,Dennis Pitta\PittDe00,TE,25,2016,0,0,1,16,16,66,0,0,0,0,0,0,0,0,224,2098,13,3,,,BYU,College Stats
4,115,NYG,Phillip Dillard\DillPh99,LB,23,2012,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,,,,Nebraska,College Stats
4,116,PIT,Thaddeus Gibson\GibsTh99,DE,22,2012,0,0,0,0,,4,0,0,0,0,0,0,0,0,0,0,0,,,,Ohio St.,College Stats
4,117,ATL,Joe Hawley\HawlJo20,C,21,2017,0,0,3,26,14,91,0,0,0,0,0,0,0,0,0,0,0,4,,,UNLV,College Stats
4,118,HOU,Garrett Graham\GrahGa00,TE,24,2015,0,0,2,7,7,60,0,0,0,0,0,0,0,0,100,1059,10,1,,,Wisconsin,College Stats
4,119,MIA,A.J. Edds\EddsA.99,LB,22,2014,0,0,0,0,,17,0,0,0,0,0,0,0,0,0,0,0,4,,,Iowa,
4,120,CIN,Geno Atkins\AtkiGe99,DT,22,2018,2,6,8,76,76,131,0,0,0,0,0,0,0,0,0,0,0,205,,67.0,Georgia,College Stats
4,121,PHI,Keenan Clayton\ClayKe99,LB,23,2012,0,0,0,3,2,36,0,0,0,0,0,0,0,0,0,0,0,18,,,Oklahoma,College Stats
4,122,PHI,Mike Kafka\KafkMi00,QB,23,2014,0,0,0,0,0,4,11,16,107,0,2,3,0,0,0,0,0,,,,Northwestern,College Stats
4,123,NOR,Al Woods\WoodAl99,DT,23,2018,0,0,3,18,,107,0,0,0,0,0,0,0,0,0,0,0,92,,4.5,LSU,College Stats
4,124,CAR,Eric Norwood\NorwEr99,LB,22,2011,0,0,0,2,2,28,0,0,0,0,0,0,0,0,0,0,0,6,,1.0,South Carolina,College Stats
4,125,PHI,Clay Harbor\HarbCl00,TE,23,2016,0,0,2,7,3,98,0,0,0,0,0,0,0,0,114,1170,8,5,,,SW Missouri St.,
4,126,DAL,Akwasi Owusu-Ansah\OwusAk99,DB,22,2013,0,0,0,1,0,15,0,0,0,0,0,0,0,0,0,0,0,12,,,Indiana (PA),
4,127,SEA,E.J. Wilson\WilsE.99,DE,22,2010,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,,,North Carolina,College Stats
4,128,DET,Jason Fox\FoxxJa20,T,22,2015,0,0,1,9,2,37,0,0,0,0,0,0,0,0,0,0,0,1,,,Miami (FL),College Stats
4,129,IND,Jacques McClendon\McClJa20,G,22,2015,0,0,0,3,0,25,0,0,0,0,0,0,0,0,0,0,0,,,,Tennessee,
4,130,ARI,O'Brien Schofield\SchoOB99,DE,23,2016,0,0,2,17,7,84,0,0,0,0,0,0,0,0,0,0,0,102,,15.5,Wisconsin,College Stats
4,131,CIN,Roddrick Muckelroy\MuckRo99,LB,23,2012,0,0,0,2,1,21,0,0,0,0,0,0,0,0,0,0,0,,,,Texas,College Stats
5,132,STL,Michael Hoomanawanui\HoomMi00,TE,22,2017,0,0,4,5,1,87,0,0,0,0,0,1,0,0,57,646,8,,,,Illinois,College Stats
5,133,SEA,Kam Chancellor\ChanKa99,DB,22,2017,0,4,7,45,45,109,0,0,0,0,0,0,0,0,0,0,0,434,12,2.0,Virginia Tech,College Stats
5,134,PHI,Ricky Sapp\SappRi99,DE,23,2014,0,0,0,1,,17,0,0,0,0,0,0,0,0,0,0,0,3,,,Clemson,College Stats
5,135,ATL,Dominique Franks\FranDo99,DB,22,2014,0,0,0,6,5,52,0,0,0,0,0,0,0,0,0,0,0,37,3,,Oklahoma,College Stats
5,136,KAN,Kendrick Lewis\LewiKe00,DB,22,2018,0,0,6,28,16,97,0,0,0,0,0,0,0,0,0,0,0,243,9,,Mississippi,College Stats
5,137,DEN,Perrish Cox\CoxxPe99,DB,23,2016,0,0,4,19,3,81,0,0,0,0,0,0,0,0,0,0,0,186,10,,Oklahoma St.,College Stats
5,138,OAK,Walter McFadden\McFaWa99,DB,23,2012,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,,,Auburn,College Stats
5,139,NYJ,John Conner\ConnJo00,RB,23,2014,0,0,1,0,0,62,0,0,0,0,0,27,108,2,12,84,1,2,,,Kentucky,College Stats
5,140,BUF,Ed Wang\WangEd20,T,23,2010,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,,,,Virginia Tech,College Stats
5,141,CHI,Joshua Moore\MoorJo99,DB,22,2010,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,Kansas St.,College Stats
5,142,KAN,Cameron Sheffield\ShefCa99,DE,22,2012,0,0,0,1,1,17,0,0,0,0,0,0,0,0,0,0,0,5,,,Troy,College Stats
5,143,JAX,Larry Hart\HartLa99,DE,23,2010,0,0,0,1,1,14,0,0,0,0,0,0,0,0,0,0,0,5,,1.5,Central Arkansas,
5,144,HOU,Sherrick McManis\McMaSh99,DB,22,2018,0,0,0,8,2,117,0,0,0,0,0,0,0,0,0,0,0,46,2,1.0,Northwestern,College Stats
5,145,MIA,Nolan Carroll\CarrNo00,DB,23,2017,0,0,4,21,11,103,0,0,0,0,0,0,0,0,0,0,0,226,8,3.0,Maryland,College Stats
5,146,SDG,Cam Thomas\ThomCa99,DT,23,2017,0,0,2,17,10,102,0,0,0,0,0,0,0,0,0,0,0,86,1,7.5,North Carolina,College Stats
5,147,NYG,Mitch Petrus\PetrMi20,G,23,2012,0,0,0,4,4,27,0,0,0,0,0,0,0,0,0,0,0,,,,Arkansas,College Stats
5,148,TEN,Robert Johnson\JohnRo99,DB,23,2012,0,0,0,2,2,15,0,0,0,0,0,0,0,0,0,0,0,13,1,,Utah,
5,149,STL,Hall Davis\DaviHa21,DE,23,2012,0,0,0,0,,3,0,0,0,0,0,0,0,0,0,0,0,,,,Louisiana,
5,150,NWE,Zoltan Mesko\MeskZo99,P,24,2013,0,0,3,6,6,56,0,0,0,0,0,0,0,0,0,0,0,,,,Michigan,College Stats
5,151,PIT,Chris Scott\ScotCh23,G,23,2016,0,0,0,8,0,45,0,0,0,0,0,0,0,0,0,0,0,,,,Tennessee,
5,152,CIN,Otis Hudson\HudsOt20,T,24,2012,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,,East. Illinois,
5,153,JAX,Austen Lane\LaneAu99,DE,22,2014,0,0,1,7,7,30,0,0,0,0,0,0,0,0,0,0,0,46,,3.0,Murray St.,
5,154,GNB,Andrew Quarless\QuarAn00,TE,21,2015,0,0,2,9,9,60,0,0,0,0,0,0,0,0,89,940,6,4,,,Penn St.,College Stats
5,155,ARI,John Skelton\SkelJo00,QB,22,2012,0,0,0,4,4,20,320,602,3707,15,25,42,182,0,0,0,0,1,,,Fordham,
5,156,BAL,David Reed\ReedDa00,WR,23,2013,0,0,0,2,2,36,0,0,0,0,0,2,31,0,6,68,0,2,,,Utah,College Stats
5,157,BAL,Arthur Jones\JoneAr22,DE,24,2017,0,0,2,19,14,64,0,0,0,0,0,0,0,0,0,0,0,103,,10.0,Syracuse,College Stats
5,158,NOR,Matt Tennant\TennMa20,C,23,2012,0,0,0,3,2,36,0,0,0,0,0,0,0,0,0,0,0,,,,Boston Col.,
5,159,PHI,Riley Cooper\CoopRi00,WR,22,2015,0,0,3,18,18,88,0,0,0,0,0,0,18,0,169,2418,18,5,,,Florida,College Stats
5,160,CLE,Larry Asante\AsanLa99,DB,22,2015,0,0,0,2,,39,0,0,0,0,0,0,0,0,0,0,0,49,1,,Nebraska,College Stats
5,161,MIN,Chris DeGeare\DeGeCh20,G,23,2012,0,0,0,2,2,8,0,0,0,0,0,0,0,0,0,0,0,1,,,Wake Forest,
5,162,IND,Brody Eldridge\EldrBr00,TE,23,2011,0,0,1,0,0,27,0,0,0,0,0,0,0,0,14,84,0,1,,,Oklahoma,College Stats
5,163,MIA,Reshad Jones\JoneRe99,DB,22,2018,0,2,7,40,40,118,0,0,0,0,0,0,0,0,0,0,0,544,20,10.5,Georgia,College Stats
5,164,PIT,Crezdon Butler\ButlCr99,DB,23,2016,0,0,0,2,0,46,0,0,0,0,0,0,0,0,0,0,0,23,,,Clemson,College Stats
5,165,ATL,Kerry Meier\MeieKe00,WR,23,2012,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,,,,Kansas,
5,166,PIT,Stevenson Sylvester\SylvSt99,LB,22,2014,0,0,0,5,5,50,0,0,0,0,0,0,0,0,0,0,0,10,,,Utah,College Stats
5,167,MIN,Nate Triplett\TripNa99,LB,23,2011,0,0,0,0,,8,0,0,0,0,0,0,0,0,0,0,0,4,,,Minnesota,College Stats
5,168,SDG,Jonathan Crompton\CromJo00,QB,23,,0,0,0,,,,,,,,,,,,,,,,,,Tennessee,
5,169,GNB,Marshall Newhouse\NewhMa20,G,21,2018,0,0,4,37,20,107,0,0,0,0,0,0,0,0,0,0,0,1,,,TCU,College Stats
6,170,STL,Fendi Onobun\OnobFe00,TE,23,2014,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,15,0,,,,Arizona,College Stats
6,171,ATL,Shann Schillinger\SchiSh99,DB,24,2013,0,0,0,2,2,37,1,1,-8,0,0,0,0,0,0,0,0,,,,Montana,
